CF,Unique Nodes,Total Nodes,Returned,Return Iteration
0.9702970297029703,98,101,False,0
0.9504950495049505,96,101,False,0
0.9306930693069307,94,101,False,0
0.9702970297029703,98,101,False,0
0.9603960396039604,97,101,True,20
0.9801980198019802,99,101,False,0
0.9306930693069307,94,101,False,0
0.9504950495049505,96,101,False,0
0.9207920792079208,93,101,False,0
0.9702970297029703,98,101,False,0
0.9702970297029703,98,101,True,66
0.9801980198019802,99,101,False,0
0.9603960396039604,97,101,False,0
0.9504950495049505,96,101,False,0
0.9702970297029703,98,101,False,0
0.9900990099009901,100,101,False,0
0.9702970297029703,98,101,False,0
0.9306930693069307,94,101,False,0
1.0,101,101,False,0
0.9405940594059405,95,101,False,0
0.9702970297029703,98,101,False,0
0.9405940594059405,95,101,False,0
0.9900990099009901,100,101,False,0
0.9801980198019802,99,101,True,9
0.9702970297029703,98,101,False,0
0.9702970297029703,98,101,False,0
0.9702970297029703,98,101,False,0
0.9702970297029703,98,101,False,0
0.9603960396039604,97,101,False,0
0.9603960396039604,97,101,False,0
0.9405940594059405,95,101,False,0
0.9504950495049505,96,101,False,0
0.9504950495049505,96,101,False,0
0.9900990099009901,100,101,False,0
0.9603960396039604,97,101,False,0
0.9603960396039604,97,101,False,0
0.9603960396039604,97,101,False,0
0.9504950495049505,96,101,False,0
0.9801980198019802,99,101,False,0
0.9702970297029703,98,101,False,0
0.9603960396039604,97,101,False,0
0.9900990099009901,100,101,True,101
0.9702970297029703,98,101,False,0
0.9603960396039604,97,101,False,0
0.9801980198019802,99,101,False,0
0.9603960396039604,97,101,False,0
0.9504950495049505,96,101,False,0
0.9306930693069307,94,101,False,0
1.0,101,101,False,0
0.9702970297029703,98,101,False,0
0.9801980198019802,99,101,False,0
0.9504950495049505,96,101,False,0
0.9603960396039604,97,101,False,0
0.9603960396039604,97,101,False,0
0.9900990099009901,100,101,False,0
0.9801980198019802,99,101,False,0
0.9801980198019802,99,101,False,0
0.9702970297029703,98,101,False,0
0.9801980198019802,99,101,False,0
0.9702970297029703,98,101,False,0
0.9603960396039604,97,101,True,11
0.9504950495049505,96,101,True,23
0.9801980198019802,99,101,False,0
0.9801980198019802,99,101,False,0
0.9603960396039604,97,101,False,0
0.9801980198019802,99,101,False,0
0.9900990099009901,100,101,False,0
1.0,101,101,False,0
0.9603960396039604,97,101,False,0
0.9504950495049505,96,101,False,0
0.9702970297029703,98,101,False,0
0.9504950495049505,96,101,False,0
0.9900990099009901,100,101,False,0
0.9504950495049505,96,101,False,0
0.9801980198019802,99,101,False,0
0.9900990099009901,100,101,False,0
0.9405940594059405,95,101,False,0
0.9405940594059405,95,101,False,0
0.9702970297029703,98,101,False,0
0.9801980198019802,99,101,False,0
0.9900990099009901,100,101,False,0
0.9801980198019802,99,101,False,0
0.9603960396039604,97,101,False,0
0.9801980198019802,99,101,False,0
0.9801980198019802,99,101,False,0
0.9900990099009901,100,101,False,0
0.9405940594059405,95,101,False,0
0.9702970297029703,98,101,False,0
0.9603960396039604,97,101,False,0
0.9603960396039604,97,101,False,0
0.9801980198019802,99,101,False,0
0.9801980198019802,99,101,False,0
0.9702970297029703,98,101,False,0
0.9603960396039604,97,101,False,0
0.9801980198019802,99,101,False,0
0.9900990099009901,100,101,False,0
0.9405940594059405,95,101,False,0
0.9306930693069307,94,101,False,0
0.9702970297029703,98,101,False,0
0.9900990099009901,100,101,False,0
